Product_name,Brand,Item_id,Swiper_count,Price
Tinted Moisturizer Oil Free Natural Skin Perfector Broad Spectrum SPF 20,Laura Mercier,2581981,11,$54.00
Mini CC+ Cream with SPF 50+,IT Cosmetics,2603716,11,$22.00
Dream Fresh BB Cream 8-In-1 Skin Perfector,Maybelline,2247174,6,$9.99
nan,nan,2306382,nan,nan
BB Cream SPF 20,Erborian,2597214,8,$46.00
Perfect Lasting Foundation,VDL,2560248,4,$35.00
Mini Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25,Smashbox,2596516,11,$20.00
Mini Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,Laura Mercier,2610229,8,$29.00
Mini Tinted Moisturizer Oil Free Natural Skin Perfector Broad Spectrum SPF 20,Laura Mercier,2610240,8,$29.00
Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,Laura Mercier,2560092,10,$54.00
Dew Skin Tinted Moisturizer,Beautycounter,2606458,6,$12.50
Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25,Smashbox,2568502,10,$41.00
Moisture Surge Sheertint Hydrator Broad Spectrum SPF 25 Tinted Moisturizer,Clinique,2562139,7,$30.80
Hueguard Skin Tint SPF 50 Mineral Sunscreen Broad Spectrum,Live Tinted,2621475,8,$29.40
Travel Size BB Cream SPF 20,Erborian,2566318,7,$25.00
CC+ Cream Illumination SPF 50+,IT Cosmetics,2287681,8,$28.20
CC Red Correct Green Color Corrector SPF25,Erborian,2548341,9,$46.00
Radiant Skin Brightening Serum Skin Tint SPF 30,TULA,2598954,10,$42.00
Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,Clinique,2258299,5,$30.80
Dream Pure BB Cream 8-in-1 Skin Perfector,Maybelline,2566272,6,$9.99
Magic Skin Beautifier BB Cream Anti-Redness,L'Or̩al,2275340,4,$12.99
Magic Skin Beautifier BB Cream Anti-Fatigue,L'Or̩al,2275341,4,$12.99
Instant Age Rewind Perfector 4-In-1 Whipped Matte Makeup,Maybelline,2590459,6,$1.50
Travel Size CC Cream SPF 25,Erborian,2566316,10,$25.00
Pretty Fresh Hyaluronic Acid Tinted Moisturizer,ColourPop,2561451,7,$15.00
CC+ Cream Natural Matte Foundation with SPF 40,IT Cosmetics,2621797,10,$28.20
Pure Radiant Tinted Moisturizer SPF 30,NARS,2504411,9,$46.00
CC Water with Hyaluronic Acid,Erborian,2579206,9,$46.00
STEM CELLULAR CC Cream SPF 30,Juice Beauty,2561330,7,$39.50
BB Blur Tinted Moisturizer Broad Spectrum SPF 30 Sunscreen,Tarte,2254185,11,$21.00
Camo Hydrating CC Cream SPF 30,e.l.f. Cosmetics,2617546,8,$15.00
Camo CC Cream,e.l.f. Cosmetics,2574676,6,$15.00
Continuous Correction Tone-Evening CC Cream SPF 50+,Dermablend,2581037,8,$28.70
Skin Trainer CC Blur,KIKO Milano,2595771,2,$16.10
Studio Secrets Magic Skin Beautifier B.B. Cream,L'Or̩al,2246835,3,$12.99
Clean Matte BB Cream,CoverGirl,2304774,8,$10.99
Alight Multi-Mineral BB Cream,Pacifica,2557064,2,$11.20
BB Cream with SPF 15,Burt's Bees,2306154,4,$14.99
Glow Time Pro BB Cream,jane iredale,2598524,7,$41.60
Beauty Balm Serum Boosted Skin Tint,Anastasia Beverly Hills,2621820,11,$42.00
Skin Feels Good Hydrating Tinted Moisturizer with SPF 23,Lanc̫me,2524132,7,$25.90
Strobe Dewy Skin Tint,MAC,2622240,6,$38.00
Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20,Tarte,2220120,4,$21.00
Maracuja Vegan Tinted Moisturizer,Tarte,2562236,11,$17.00
