,Item_id,pros,cons,rating,num_reviews,5_stars,4_stars,3_stars,2_stars,1_star
191,2620021,['No Pros'],['No Cons'],5.0,2 Reviews,2,0,0,0,0
192,2623838,['No Pros'],['No Cons'],4.1,235 Reviews,118,64,31,12,10
193,2609909,['No Pros'],['No Cons'],4.4,371 Reviews,272,39,24,18,18
194,2620618,['No Pros'],['No Cons'],4.5,126 Reviews,91,17,10,6,2
195,2594966,['No Pros'],['No Cons'],4.7,563 Reviews,428,98,24,9,4
196,2617460,['No Pros'],['No Cons'],4.5,490 Reviews,304,134,44,7,1
197,2627537,['No Pros'],['No Cons'],4.5,218 Reviews,136,57,18,3,4
198,2602248,"['1Easy To Apply', '1Natural Looking']","[""1Doesn't Stay On"", ""1Doesn't Work""]",4.5,206 Reviews,160,17,12,7,10
199,2595875,['No Pros'],['No Cons'],4.6,26 Reviews,22,2,0,0,2
200,2583413,['1Pigmented'],['No Cons'],4.2,94 Reviews,56,18,7,8,5
201,2593962,['No Pros'],['No Cons'],4.5,86 Reviews,62,13,6,2,3
202,2595747,"['1Blendable', '1Buildable', '1Light', '1Silky', '1Smooth']",['No Cons'],4.4,14 Reviews,10,2,0,2,0
203,2599123,['No Pros'],['No Cons'],4.5,107 Reviews,77,20,3,5,2
204,2599827,['No Pros'],['No Cons'],4.2,149 Reviews,91,21,16,10,11
205,2597110,"['2Easy to apply', '1Lasts long', '1Lightweight', '1Smells great', '1Smooth']",['No Cons'],4.4,317 Reviews,211,59,27,10,10
206,2623456,['No Pros'],['No Cons'],4.9,21 Reviews,20,0,1,0,0
207,2625731,['No Pros'],['No Cons'],3.8,4 Reviews,2,0,1,1,0
208,2601104,['No Pros'],['No Cons'],4.0,122 Reviews,64,19,16,20,3
209,2595212,"['3Easy To Use', '3Good Color Payoff', '3Good Value', '3Lightweight', '2Effective']",['No Cons'],4.3,399 Reviews,227,105,44,17,6
210,2603637,"['10All Day Wear', '9Lightweight', '7Natural Glow', '5Combination Skin', '3Dry Skin']",['No Cons'],4.6,1051 Reviews,718,239,73,12,9
211,2622793,['No Pros'],['No Cons'],4.7,6 Reviews,5,0,1,0,0
212,2583677,"['106All Skin Types', '81Dry Skin', '79Combination Skin', '71Normal Skin', '27Dull Skin']",['No Cons'],4.6,735 Reviews,557,104,37,18,19
213,2599451,['No Pros'],['No Cons'],4.3,294 Reviews,202,37,15,19,21
214,2583309,['1A little goes a long way'],['No Cons'],4.7,963 Reviews,711,201,36,6,9
215,2618633,['No Pros'],['No Cons'],4.3,43 Reviews,32,3,1,3,4
216,2613119,['No Pros'],['No Cons'],4.7,236 Reviews,174,45,13,4,0
217,2590468,['No Pros'],['No Cons'],4.6,326 Reviews,242,56,22,3,3
218,2623998,['No Pros'],['No Cons'],4.6,501 Reviews,346,104,37,8,6
219,2612232,['No Pros'],['No Cons'],4.7,34 Reviews,31,1,0,0,2
220,2618550,['No Pros'],['No Cons'],4.7,839 Reviews,647,143,42,6,1
221,2595436,['No Pros'],['No Cons'],4.5,652 Reviews,450,130,46,17,9
222,2585074,"['2Easy to use', '1Everyday', '1Convenience', '1Compact, travel-ready, cute', '1Pretty eyeshadow color']","['1Packaging', '1Fall out', '1Less pigmentation', '1Poor quality', '1Formula']",4.0,261 Reviews,137,54,28,19,23
223,2603000,['No Pros'],['No Cons'],4.4,124 Reviews,80,28,5,6,5
224,2596240,['No Pros'],['No Cons'],4.7,1235 Reviews,1042,86,59,32,16
225,2620853,['No Pros'],['No Cons'],4.7,100 Reviews,76,21,2,0,1
226,2621127,['No Pros'],['No Cons'],4.5,867 Reviews,561,208,67,24,7
227,2585069,"['1Sheer not heavy pretty color', '1Blends nicely!', '1Very creamy and wonderful  color consistency', '1It looks ok if you use on your lips', '1As it says you have 2 products in one']","['1Wish that there were more color options.', '1Bad mix with their foundation', '1Cakey on the lips', '1I was expecting a more rich color.']",4.0,152 Reviews,88,28,8,9,19
228,2575861,['No Pros'],['No Cons'],4.4,7 Reviews,6,0,0,0,1
229,2625489,['No Pros'],['No Cons'],4.1,19 Reviews,7,8,2,2,0
230,2568578,['No Pros'],['No Cons'],4.4,30 Reviews,22,4,1,1,2
231,2599543,['No Pros'],['No Cons'],4.4,22 Reviews,18,0,0,3,1
232,2605949,"['1Beautiful Color', '1Blendable', '1Creamy', '1Pigmented', '1Colors are great']",['1Smells like chemical make up'],5.0,14 Reviews,14,0,0,0,0
233,2607064,['No Pros'],['No Cons'],4.4,73 Reviews,46,18,2,4,3
234,2615144,['No Pros'],['No Cons'],4.5,121 Reviews,74,40,6,0,1
